VisitReasonId,Name,SpecialtyId,SpecialtyName
pc_rDX3UcMDbU2HlWEdSnuPZx,Hand Problems,sp_117,Orthopedic Surgeon
pc_6OZ_tCH8E0ipVtz40nv4gx,ENT Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_YL3LvJUUE06C2FG1C2tBJx,Ear Infection,sp_130,"Ear, Nose & Throat Doctor"
pc_vSFc7WzSXUi8LgJ__s80uh,Hoarseness,sp_130,"Ear, Nose & Throat Doctor"
pc_F2DJXxtey0OgX0oEn1mp9x,Hearing Problems,sp_130,"Ear, Nose & Throat Doctor"
pc_rey9RgesqUyXulvAvoa52h,Vertigo,sp_130,"Ear, Nose & Throat Doctor"
pc_kzU02N3DnEqJ0tL6gXy6Wx,Sinus Problems / Sinusitis,sp_130,"Ear, Nose & Throat Doctor"
pc_ONiL7KsfL02_hvkt5m3PkR,Sleep Problems,sp_155,Sleep Medicine Specialist
pc_87qTEapKCECAkjbEBQPEvB,"Swelling in Neck ",sp_130,"Ear, Nose & Throat Doctor"
pc_XN544qyfUk69KBEIoEUOIR,Cancer Screening,sp_130,"Ear, Nose & Throat Doctor"
pc_c2TMoMIXoESzotVV4a5F0B,Elbow Problems,sp_117,Orthopedic Surgeon
pc_E_Iz0OcVY0ekd7nIFmwFmR,Back Problems,sp_117,Orthopedic Surgeon
pc_6EAgilerx0qjJHpTp_ik-x,Sports Injury,sp_117,Orthopedic Surgeon
pc_ycr3-AJHOEKsvOifZlU1kR,Knee Problems,sp_117,Orthopedic Surgeon
pc_oiLtD9NVB0asgdnIF29lAR,Hip Problems,sp_117,Orthopedic Surgeon
pc_f42H5oSQ8kGDEh_gSl5PTB,OB-GYN Consultation,sp_104,OB-GYN
pc_9cYi0oM8ukqMUjzO5MCgSh,Pregnancy Problem,sp_104,OB-GYN
pc_CfHtU1Sc6UWfI_yS4U7cax,Birth Control / Contraception,sp_104,OB-GYN
pc_jL57dJbLT0y5AGae2izsSR,Annual Pap Smear / GYN Exam,sp_104,OB-GYN
pc_4RctxtZN4EGaY3g9VXYbIR,Sexually Transmitted Disease (STD) Testing,sp_104,OB-GYN
pc_94-xU0K3FEOO33ZcmTfGiR,Sexual Dysfunction,sp_104,OB-GYN
pc_2_Rk-p7S0E-jRJvl09JnHR,Osteoporosis Evaluation,sp_104,OB-GYN
pc_aDuGOQitX06bLh4D3p1-Ch,Flu Shot,sp_153,Primary Care Doctor
pc_Rx8bkcd05EaoNWTQy4WpHx,Child with Fever,sp_100,Pediatrician
pc_z-XC40xg6Uq61dk7tWXPUB,Pediatric Consultation,sp_100,Pediatrician
pc_fLGnw6PJJ027Msgdc7fJmB,Prenatal Fetal Consultation,sp_100,Pediatrician
pc_7yyptwefTEepmUVCrddO7x,3-7 Day Well-Baby Checkup,sp_100,Pediatrician
pc_PS_ATW4rmkuIfaIG_Hxdwh,1 Month Well-Baby Checkup,sp_100,Pediatrician
pc_BJskTlXzA0uW7us1Nzc4CR,2 Month Well-Baby Checkup,sp_100,Pediatrician
pc_haKpHqYxxUSi9o4J-PZQmB,4 Month Well-Baby Checkup,sp_100,Pediatrician
pc_axozt99GA0GVx7vjIIBjyh,9 Month Well-Baby Checkup,sp_100,Pediatrician
pc_rE_jCKp-YkeslxP4RMdvgB,12 Month Well-Baby Checkup,sp_100,Pediatrician
pc_D072Qkz550uvuaxqhc09Hx,15 Month Well-Baby Checkup,sp_100,Pediatrician
pc_TxLf4vq0sU68fwBU-y7foR,18 Month Well-Baby Checkup,sp_100,Pediatrician
pc_MCkpG2plYE-6Byd8HZ1w3h,24 Month Well-Baby Checkup,sp_100,Pediatrician
pc_hQmH_DBHBkWPAyUJqqb0px,30 Month Well-Baby Checkup,sp_100,Pediatrician
pc_QdhZGyfUvkqWP_Z_c0p1JB,Annual Pediatric Checkup,sp_100,Pediatrician
pc_JdVDnHPhTEOoatEjtM4ZzR,Ultrasound Scan,sp_570,Ultrasound Facility
pc_lrKfNxxQPU2E4WEYYNw1YR,Sexually Transmitted Disease (STD),sp_153,Primary Care Doctor
pc_pQHZ8-tjRUqjEiVc2B16zR,Orthodontic Consultation,sp_135,Orthodontist
pc_jbMMBYFZjkC__wsOjiCkjB,Orthodontist Emergency Visit,sp_135,Orthodontist
pc_saKtfGCIdU--uUpEu6_ogB,Jaw Surgery,sp_135,Orthodontist
pc_NF_lakGmHkGSfZTRgBsqTh,Braces / Retainer Checkup,sp_135,Orthodontist
pc_dFrJB1lVKkGCldQehJHe4R,Shoulder Problem,sp_117,Orthopedic Surgeon
pc_fgebPJsoZ0OEw98hapBL5x,Allergy Consultation,sp_132,Allergist
pc_aLpFh5Wuu0WulECCpHnssh,Allergic Cough,sp_132,Allergist
pc_fUF9NAu3J0WTqLmf8D-1-x,Allergic Eye Problems,sp_132,Allergist
pc_qhuHZuZLf0qFIbtDrXNyVB,Eczema,sp_132,Allergist
pc_hWW-5bmpDkSLDzcq0uxulB,Food Allergy,sp_132,Allergist
pc_xTRHFN_zg0qLnpqtzV9UAR,Drug Allergy,sp_132,Allergist
pc_mLdGog6Fwkev_8amkyM4uB,Psychiatry Consultation,sp_122,Psychiatrist
pc_mi29JZJD6EqCC1nwXI1_rB,Medication Review,sp_122,Psychiatrist
pc_rIYw8hp_3Eed1R1-e2iydh,Psychotherapy,sp_352,Psychotherapist
pc_6A63pSlqd0ubNC39fqODYh,Bipolar Disorder,sp_122,Psychiatrist
pc_KsybvqB6RkmdlR7nOdieFR,Worry,sp_122,Psychiatrist
pc_89GZHVAPxkuEvbluQj7RJR,Alzheimer's Disease,sp_122,Psychiatrist
pc_fTgcFFRYTUil20_O3ls20B,Addiction / Substance Abuse,sp_122,Psychiatrist
pc_cZt0h3U_zk6Qx8emqGmhmx,Hyperactive Disorder (ADD / ADHD),sp_122,Psychiatrist
pc_xFGtq79_gkmGKUjHD0tsbx,Eating Disorder,sp_122,Psychiatrist
pc_TqSF3gaa7UKhpZH3ZKsN2h,Schizophrenia,sp_122,Psychiatrist
pc_3NZVNnLZPkmeawo_4yya8B,Tooth Extraction,sp_98,Dentist
pc_R_JZhqfJaUWpuSHuezvS3h,Swine Flu Shot,sp_153,Primary Care Doctor
pc_dLx_aTKEDUyzsFch0FRmpx,Foot Consultation,sp_121,Podiatrist
pc_qw5LRRQKtEO-Z8JvCTkBlB,Foot Infection,sp_121,Podiatrist
pc_27U8Bq0FD02r9O6qqboLzx,Diabetic Foot,sp_121,Podiatrist
pc_u58wtSu7SkCaNDYris0QAh,Foot Pain,sp_121,Podiatrist
pc_QG6TA0kLzk22BX9-qQ8NFB,Bunion,sp_121,Podiatrist
pc_H4rGHsRVcEGVlCuby9W_qx,Ankle Injuries / Sprain,sp_121,Podiatrist
pc_BKnsAepKBkGG_Zine11pdB,Arthritis,sp_109,Rheumatologist
pc_4G1Nt7qvzU26JuKNN98DWR,Wart(s),sp_153,Primary Care Doctor
pc_k2x5poxBJEWNWnxY3bTBDh,Nail Abnormality,sp_121,Podiatrist
pc_Vljnj0Fxrkq-bfZx5NuFVB,"Cardiology Consultation ",sp_105,Cardiologist
pc_riwE8HbsZE2JqNmVCBnXFx,Cardiovascular Screening Visit,sp_105,Cardiologist
pc_0GwNcmCbPECT_e1vrPWO0x,Carotid Doppler,sp_105,Cardiologist
pc_5geegw6CkUC5_kqRO-ZKIR,Heart Ultrasound / Echocardiogram (Echo),sp_570,Ultrasound Facility
pc_NUf_ioOIoka-veK6HCewMh,ECG / EKG,sp_105,Cardiologist
pc_gtrHIYM_W0GU5HLbRPda-R,Holter Monitor,sp_105,Cardiologist
pc_BXQUOI7ksEeClLgqyi0Nax,Nuclear Stress Test,sp_105,Cardiologist
pc_aq4h6yUUWk-bDhANI-hMCB,Treadmill Stress Test,sp_105,Cardiologist
pc_ZdrYSfHgcUq3c0QdWo-DYR,Cholesterol / Lipids Checkup,sp_105,Cardiologist
pc_MfM2hYodykayLn5lmdzyXx,Family History of Heart Issues,sp_105,Cardiologist
pc_HwWGC-Xyo0OIp4wtrJyPOB,Nose Problems,sp_130,"Ear, Nose & Throat Doctor"
pc_otcTc43eBEeQh7vzNk2BGR,Stent Consultation,sp_105,Cardiologist
pc_noo41cOsP02E4Z3vBmw0Gx,High Blood Pressure / Hypertension,sp_105,Cardiologist
pc_MmupBi07Wk26y4j6LCNcGB,Pulmonology Consultation,sp_108,Pulmonologist
pc_u06uI4JjoEiC7RcSJy8iWx,Asthma,sp_108,Pulmonologist
pc_kvEa4kGR5kix60nERO9u_R,Emphysema,sp_108,Pulmonologist
pc_EKUQOnpaCUey6ezKCdNflR,Pneumonia,sp_108,Pulmonologist
pc_UY1tgEUV-UucAxcL5Ejx9R,Lung Cancer Screening,sp_108,Pulmonologist
pc_F4X_lMkB702Djes7iKY5Gh,"Cystic Fibrosis ",sp_108,Pulmonologist
pc_pQwDK2CRKEyk_kCkApaK_h,Bronchoscopy,sp_108,Pulmonologist
pc_htJ1QcZKMkye-RbuOeGCOB,Pulmonary Function Testing,sp_108,Pulmonologist
pc_saU9ASlBkUyLwICINBKrCh,Thoracoscopy,sp_108,Pulmonologist
pc_wICgL_ILmEWNlxD6bLXm-B,Sleep Studies,sp_155,Sleep Medicine Specialist
pc_TLVuLVAVokewvcCndOI7kx,"Daytime Sleepiness ",sp_155,Sleep Medicine Specialist
pc_BXZZVkUNsU-v-4GlBKUIcx,Obstructive Sleep Apnea (OSA),sp_155,Sleep Medicine Specialist
pc_x7rGautalkyY6OJQOppAbB,Restless Legs Syndrome,sp_155,Sleep Medicine Specialist
pc_QFRp0PMZ9ku7QkeT0F8O5h,Neurology Consultation,sp_128,Neurologist
pc_Ai4nbqqh90S7Z06IzTnpHx,Migraine,sp_128,Neurologist
pc_bx-SfF3yM0eeVaTO2cLRwh,Muscle Weakness / Palsy,sp_128,Neurologist
pc_YupEhJZGIEmcmKY1VgSQAR,Tingling / Numbness / Weakness,sp_128,Neurologist
pc_rQNT0KM5AUu77HqJG041Lh,Seizures / Epilepsy,sp_394,Epilepsy Specialist
pc_FA190xKEQk6puqb9nH-XyB,Movement Issues,sp_128,Neurologist
pc_2DsicA_s8UOgytZb7rhmpB,Stroke Check-up / Prevention,sp_128,Neurologist
pc_1-1vW7wkBEKzzJKJP4j9RR,Multiple Sclerosis,sp_128,Neurologist
pc_FRVqEnoIw0uZIdD8iOPi9R,Cognitive Issues,sp_128,Neurologist
pc_upQ_OkPyek-OT-iWKn7AUR,Electroencephalogram (EEG),sp_128,Neurologist
pc_10Zt4E-6g0y1Te3Wtzibwx,Nerve Conduction Studies (NCS),sp_128,Neurologist
pc_bCHKsmD7WU6400r4cWyzCR,CT Scan Report - Lungs,sp_123,Radiologist
pc_eBaXjgAU5keYphCILRtzcB,CT Scan - Heart (Coronary CTA),sp_568,CT Scan Facility
pc_dRM4KMJzd0-fCs65NbISZR,CT Scan Report - Head,sp_123,Radiologist
pc_chd7k-si7kOOSZrWTVE-BR,CT Scan - Teeth (Dental Scan),sp_568,CT Scan Facility
pc_B18KugBH00mNKPbks4jsTR,CT Scan - Virtual Colonoscopy,sp_568,CT Scan Facility
pc__Q0DzuQt9EyZzd6iyOGGNB,CT Scan - Whole Body Scan,sp_568,CT Scan Facility
pc_F3uC9APiOU-Mb4bUHB9N6R,CT Scan Report - Other,sp_123,Radiologist
pc_HLc32VsOpUiWatx1HB6PRR,MRI Report - Breast,sp_123,Radiologist
pc_5Mda2lLNHUKeJOTknPk8XR,MRI Report - Back / Spine,sp_123,Radiologist
pc_OVRupG7z2UaJlm3EpSWA4B,MRI Report - Other,sp_123,Radiologist
pc_KrRgRx-THkm6YWpH3O0nyR,PET / CT Scan Report,sp_123,Radiologist
pc_14kCx1-3wUyHEdJ0ITyIUR,X-ray,sp_567,X-Ray Facility
pc_Xx6uzo8IU0WCsWaf5GxRmh,Screening Mammogram (No Breast Cancer Symptoms),sp_566,Mammography Facility
pc_vDA0zNJr0UeYhZefmrM05x,Bone Density Measurement / DXA Scan,sp_567,X-Ray Facility
pc__qJwMTPO2UW57yZtP4eT3B,Sonography,sp_570,Ultrasound Facility
pc_FCBcRW5SFEOzhHRZTTvK5x,Plastic Surgery Consultation,sp_120,Plastic Surgeon
pc_DLyOVDs86ky-WjC-gd1l3x,Hand Surgery Consultation,sp_120,Plastic Surgeon
pc_aH7FQmbVcEKMJBSIUQQfCx,Microvascular Surgery,sp_165,Microvascular Surgeon
pc_yKZSeDKD9k2aNMwyekLx-h,Head Surgery Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_duvdaQM0JkumWvkL0YpR8h,Thyroid Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_vXCTkUifKEamnoTS9rGuhB,Snoring,sp_130,"Ear, Nose & Throat Doctor"
pc_n0c5jRypF0CBOwXoNyERRh,Neck Surgery Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_GO73Y-lj-UuAuj-KSv6lYh,Pre-Travel Consultation,sp_99,Internist
pc_KWYHUY14qEuSLfxph1oEwx,Second Opinion,sp_99,Internist
pc_xUTVPySe20CnvLKI7QSj3h,Diabetes Consultation,sp_127,Endocrinologist
pc_6930bt-I60ukmsonVnnj3h,Infection Consultation,sp_99,Internist
pc_bLJN61HBWEW-muILzFHlJh,Senior Visit,sp_99,Internist
pc_PpYZiRxIFECE0hJF-sfPeh,Endocrinology Consultation,sp_127,Endocrinologist
pc_6i1SG1fXLkGIp78Ukr3o1h,Adrenal Problems,sp_127,Endocrinologist
pc_fRlsan6cNEOIlOwKlgU5Gx,Adrenogenital Problems,sp_127,Endocrinologist
pc_F65hIusD5UOR2SOX32h1HB,Goiter,sp_127,Endocrinologist
pc_Kk0TZU4-5Eug-XW8F5diTB,Thyroid Evaluation,sp_127,Endocrinologist
pc__ebFcv-wu0KxHX1FZG7V3B,Pituitary Problems,sp_127,Endocrinologist
pc_zMSgQy4xfka7QiAof3NFLh,Hematology Consultation,sp_110,Hematologist
pc_bc3HWERQ-kyGCtLFshm1iR,Oncology Consultation,sp_111,Oncologist
pc_WiP4EtIN1UWfhIJH0-4PPx,Anemia,sp_111,Oncologist
pc_IRit0q5THkGD5cb0AYSm_x,Lymphoma,sp_111,Oncologist
pc_j0mh3-I3QEawzG6h08xrlR,Gastroenterology Consultation,sp_106,Gastroenterologist
pc_FigopXAepEa4PqiwkeV0jh,Nephrology Consultation,sp_107,Nephrologist
pc_GMtctaOh90W4aYPpe3nfbx,Dialysis,sp_107,Nephrologist
pc_x5Rkj7jry0Wy_ZZE90BcYR,Chronic Obstructive Pulmonary Disease (COPD),sp_108,Pulmonologist
pc_4x1fA0eOykCk7rswi75eFx,Bronchitis,sp_108,Pulmonologist
pc_FZXAm5qTUU2kTlK0-2V-hR,Thoracentesis,sp_108,Pulmonologist
pc_GKwFYtElVEKkVsef-w0Erh,Temporo-Mandibular Joint (TMJ) Pain,sp_98,Dentist
pc_HWARb0wPk0Wzd0tHzFb1lh,Crown,sp_98,Dentist
pc_6wAzdeVdVEid-_Uyc31f3x,Inlay(s),sp_98,Dentist
pc_wVlmOrTNfkmvFvOmnjAyOh,Pathology Consultation,sp_118,Pathologist
pc_fqDEmHEzFU-RH7UyJQI2Uh,Oral Surgery Consultation,sp_151,Oral Surgeon
pc_H_gcABtsF0i5yFsAhLuQZB,Eye Inflammation,sp_116,Ophthalmologist
pc_OWvk3mp5Xk-LyA9Yp-SSdx,Double Vision,sp_116,Ophthalmologist
pc_jL5LKmZP30CXCzEXylXIIh,Cornea Problems,sp_116,Ophthalmologist
pc_44ZKFeaYpkCNCxeCnriJCh,Surgery,sp_158,Surgeon
pc_flYU4dfIuUS6Y85lms13rx,Biopsy,sp_101,Dermatologist
pc_cy3425zVYEGm3N2I6xwoFR,Neurosurgery Consultation,sp_113,Neurosurgeon
pc_ObHjbnYKAkW5KI02CoItTx,Wrist Problems,sp_117,Orthopedic Surgeon
pc_GY6T-5zrHUufPx1S3Jj0kB,Ankle Problems,sp_117,Orthopedic Surgeon
pc_7ONizbJEUUG28s6iKZrhzx,Radiation Oncology Consultation,sp_124,Radiation Oncologist
pc_6ABj5jeQZ0q75voQ7TtEZR,Radiology Consultation,sp_123,Radiologist
pc_DTxKUMQzPUSL5IqGVcDMhx,Urology Consultation,sp_126,Urologist
pc_iSQu9GosdESa4fPuW1JlzR,Microsurgery,sp_120,Plastic Surgeon
pc_MXRLY9kCLEWld7kixRnfgB,Pre-Surgery Consultation,sp_145,Anesthesiologist
pc_ah6IMZyRhkiwu3kzARKmOh,Skin Grafts,sp_120,Plastic Surgeon
pc_3HZc8u45d0iyTSh4V_dkzR,Surgery Consultation,sp_158,Surgeon
pc_QZ9vo0p8x0axjhUNeGitMR,MRI Report - Brain,sp_123,Radiologist
pc_qFiDizmID0SpP72Mngeh1R,Breast Augmentation,sp_120,Plastic Surgeon
pc_4J7TbYkTZUS0cElV9wMeuh,Breast Microsurgery,sp_120,Plastic Surgeon
pc_1KVGBNct40W8ydDr2WpzHB,Swallowing Problems,sp_130,"Ear, Nose & Throat Doctor"
pc_9vSCUG6Oz02vsE1CMzfj_h,Maxillofacial Surgery,sp_151,Oral Surgeon
pc_Gc8FKs9oKEmN2Tn7wf0VvB,Microbiology Evaluation,sp_159,Microbiologist
pc_4ukrLWHdUU2DqT9GvWNEAh,Pediatric Pre-Surgery Consultation,sp_145,Anesthesiologist
pc_UP_ieisNAkaoVx9QMI71qx,Prosthodontist Consultation,sp_98,Dentist
pc_Qoff_3dot0-TYSu_RK1G1B,Face Reconstructive Surgery Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_E1y363ZMREa95cBai5aSpx,ENT Oncology Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_Q0VKq-fYaEOIR6AEq79C4B,Head and Neck Oncology Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_opYejwP5qEmqehxK9otldR,Pediatric General ENT Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_vuFz9DBReki8LdfZwD_fmR,Neuro-Ophthalmology Consultation,sp_116,Ophthalmologist
pc_cnA4N0z7P0ueShMGKbbmfR,Ocular Oncology Consultation,sp_116,Ophthalmologist
pc_FsUNNXkdvUSxrFyWXhEZdR,Ocular Pathology Consultation,sp_177,Ocular Pathologist
pc_ur6ZRtXA4UuEfBxdkM__EB,Orbital Disease Consultation,sp_116,Ophthalmologist
pc_X6qaY6DS-EuC_TRIOftHIx,Oculoplastic Surgery Consultation,sp_116,Ophthalmologist
pc_xoqz4GTJ40-wD8jCNplfoh,Ophthalmologic Electrophysiology Evaluation,sp_116,Ophthalmologist
pc_1sn4gGEbF0WJJS8a4fenDh,Pediatric Eye Consultation,sp_116,Ophthalmologist
pc_9VJMygGqAkGpCW-B4NuLKh,Eye Misalignment / Crossed Eyes / Strabismus,sp_116,Ophthalmologist
pc_fKigZ0He0EWLfSBItGg-BB,Vitreous Surgery Consultation,sp_116,Ophthalmologist
pc_ny6PCjzMA0ecUqHRdlI2eh,Retina Consultation,sp_116,Ophthalmologist
pc_1Q45jk37JUmMIra30nwFeR,Ophthalmic Pathology Consultation,sp_179,Ophthalmic Pathologist
pc_AqMR0XZ4Y0GpmxGZlJ2SXh,Reconstructive Surgery Consultation,sp_120,Plastic Surgeon
pc_gnie5N5HTk-d6abgfsHm8h,Retina Surgery Consultation,sp_116,Ophthalmologist
pc_uR_Cvx2o7kGRyhNEJaQ_Dx,Ear Pain,sp_130,"Ear, Nose & Throat Doctor"
pc_P9xghZNMKEeKwb-_rCt3kB,Sore Throat,sp_153,Primary Care Doctor
pc_mQ7_z98FyUuCcxdNsBXpNB,Facial Cosmetic Surgery Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc__Cz5OlJbSU2ag5hc-UlyrB,Dizziness,sp_130,"Ear, Nose & Throat Doctor"
pc_JKn512ywnkK_X1X406ZhcB,Face Surgery Consultation,sp_130,"Ear, Nose & Throat Doctor"
pc_rRj0CZvSHU29833KskueLh,Braces Consultation,sp_135,Orthodontist
pc_pTQ6ZesWJEK5TV5pQQ7oUh,Wisdom Tooth Problem,sp_98,Dentist
pc_UsfFgEmnz0yfQ6XgMax18R,Sick Child Visit,sp_100,Pediatrician
pc_pVrIHze7E067YgpX3QxD3B,Anti-Aging Treatment,sp_101,Dermatologist
pc_5D9dFpIsFU-wMlCZoepoVB,Vaginal Discharge / Infection,sp_104,OB-GYN
pc_FEuyeHEx2ECU10-qKzUcyR,Menopause Consultation,sp_104,OB-GYN
pc__ZTYizuS3kWaUlq35DfXhR,Coronary Angiography,sp_105,Cardiologist
pc_Ezy1KpjaP0CWn1DVtnnCRB,Aesthetic Surgery Consultation,sp_120,Plastic Surgeon
pc_-eBucOqxL0-suXeC35bZgB,Athlete's Foot,sp_121,Podiatrist
pc_CFgnwrPOa0u13--f6Eg4iB,Walking Problems,sp_121,Podiatrist
pc_K9rZQjAwWEOUK1_KcOYlHR,Foot Injuries,sp_121,Podiatrist
pc_ys0YO4BWiUi-MJ3DUNuXeB,Depression,sp_122,Psychiatrist
pc_GncgQ0IoZUScifxGmnNvSx,Anxiety,sp_122,Psychiatrist
pc_jDpJ4emdS0qUpAxSy3j1QR,Autism,sp_122,Psychiatrist
pc_P63cYlewFUaE038jhe5oDB,Diagnostic Mammogram (With Breast Cancer Symptoms / History),sp_566,Mammography Facility
pc_SGZzJDCACUqcEuyaWHacZh,Headache,sp_128,Neurologist
pc_ss0tknIY5EeNIT5h7wtUKx,Parkinson's Disease,sp_128,Neurologist
pc_Vr9ZF0HjnkmosVq43DYkxR,Dementia,sp_128,Neurologist
pc_eE1N12midkWVZEQ7w6iwgR,Allergic Asthma,sp_132,Allergist
pc_eWel9WK2oUmRW5jAyK5iFh,Hay Fever / Seasonal Allergies,sp_132,Allergist
pc_0wmANUCYJ0CZG6-XQ-gn3x,Rash,sp_132,Allergist
pc_cIqQbongAk-A-8BPc41J_B,Hives,sp_132,Allergist
pc_FMIqoCkNZEGTBbxeGj03Ax,Poison Ivy or Poison Oak,sp_132,Allergist
pc_8qRpXGxfV0mANTATrNChnR,Jaw Pain,sp_135,Orthodontist
pc_LYy0NzBglk2Wz3Y0YcRWOh,Pre-Surgery Checkup / Pre-Surgical Clearance,sp_153,Primary Care Doctor
pc_5aKJ2G8DmUeFxNLBhng8wx,ENT Emergency Visit,sp_130,"Ear, Nose & Throat Doctor"
pc_-vgPbRmUiUSCiiXv0dhQnB,Vision Loss,sp_116,Ophthalmologist
pc_SHj8WNFJqEO13vt87BpeOx,Optic Nerve Injury,sp_116,Ophthalmologist
pc_jDMLsfQD202Sw0jCgIDuMR,Plastic Surgery,sp_120,Plastic Surgeon
pc_UYxmXHZ02kG7axq44BrXgR,Uveitis Consultation,sp_116,Ophthalmologist
pc_8hRyz6HMqUGcBPXtmC1qCh,Astigmatism,sp_116,Ophthalmologist
pc_cpk5vAb_GE6QXxmKmIkj5h,Corneal Injury / Infection,sp_116,Ophthalmologist
pc_S4PY95KDhESXewP857cI1h,Keratitis,sp_116,Ophthalmologist
pc_L4M04FB4TUijHv3J0mN8Cx,Cochlear Implant,sp_130,"Ear, Nose & Throat Doctor"
pc_Wc5AAEjb8UKUK-ChS-hgHh,Pain Management Consultation,sp_145,Anesthesiologist
pc_FU78J-tqR0WbHak8pXWNHR,Craniofacial Surgery Consultation,sp_120,Plastic Surgeon
pc_o5HfMdgR9kKQ_GZ2A23Nrx,Nose Surgery,sp_130,"Ear, Nose & Throat Doctor"
pc___kNunadiUSBc-tiJ4XbfR,Facial Wrinkles / Lines,sp_130,"Ear, Nose & Throat Doctor"
pc_uPZj0AR8IUa6b41FJkQEbx,Ear Deformity and Reconstruction,sp_130,"Ear, Nose & Throat Doctor"
pc_4597jzEuDkGBWaS51CBEuh,Refractive Surgery Consultation,sp_116,Ophthalmologist
pc_0UWpsAYzk0ueMdHEXzttnx,Renal Failure,sp_107,Nephrologist
pc_mIiL-4XInkSNaGc0qxBboR,Chronic Kidney Disease,sp_107,Nephrologist
pc_yYCQ8g5Lu0S0Ur1N_Gvjih,Kidney Stones,sp_107,Nephrologist
pc_nBHwU_eteEm6uLaAevpyKh,Urinary Tract Infection (UTI),sp_104,OB-GYN
pc_FyWqLdiV6UuKQl0sr9Z7eB,Protein in Urine / Proteinuria,sp_107,Nephrologist
pc_QFT0r3NS-0eZ5tt6knyE8R,Scintigraphy,sp_115,Nuclear Medicine Specialist
pc_YJwUXqNIvUaSAMeRoTkf-x,SPECT Scan,sp_568,CT Scan Facility
pc_--efSgx-gEGOiEEU7r4m-x,PET Scan,sp_123,Radiologist
