InsurancePlanId,Name,InsuranceCarrierId,InsuranceCarrierName
ip_1943,Graphics Communications L-612M,ic_242,Union Plans
ip_1944,Greenburgh Teachers Federation WF,ic_242,Union Plans
ip_1945,Hastings Auxiliary Personnel,ic_242,Union Plans
ip_1946,Hastings Teachers Association,ic_242,Union Plans
ip_1948,IATSE Medical Reimbursement Program,ic_242,Union Plans
ip_1949,IATSE National Health And Welfare,ic_242,Union Plans
ip_1950,IBEW Local 25 Health & Benefit Fund,ic_242,Union Plans
ip_1951,IBEW Local 1968,ic_242,Union Plans
ip_1953,Industry & Local 338 Pension & Welfare Fund,ic_242,Union Plans
ip_1954,"Ironworkers L40, L361, L417",ic_242,Union Plans
ip_1955,Ironworkers Local 455,ic_242,Union Plans
ip_1956,L-306 Projectionist Div Reimb Plan,ic_242,Union Plans
ip_1957,Levittown United Teachers,ic_242,Union Plans
ip_1958,Local 1 Pointers & Caulkers,ic_242,Union Plans
ip_1959,Local 1-0318 Health & Welfare Fund,ic_242,Union Plans
ip_1961,Local 153 Discount Dental Plan,ic_242,Union Plans
ip_1962,Local 153 Health Fund,ic_242,Union Plans
ip_1963,Local 1730 I.L.A,ic_242,Union Plans
ip_1964,Local 1969 Civil Service Employees,ic_242,Union Plans
ip_1965,Local 306 - Access Only Plan,ic_242,Union Plans
ip_1966,Local 472 / Local 172 Welfare Fund,ic_242,Union Plans
ip_1968,Local 802 Welfare Fund,ic_242,Union Plans
ip_1969,Local 807 Labor-Management Health Fund,ic_242,Union Plans
ip_1970,Local 829 401K,ic_242,Union Plans
ip_1971,Local 829 Scenic Artists,ic_242,Union Plans
ip_1972,Make-Up & Hairstylists Local 798,ic_242,Union Plans
ip_1973,Management Benefits Fund - SMMP,ic_242,Union Plans
ip_1974,Metrodent,ic_242,Union Plans
ip_1975,Metrodent Premier,ic_242,Union Plans
ip_1976,Metrodent Premier Plus,ic_242,Union Plans
ip_1977,Mount Vernon Welfare Fund,ic_242,Union Plans
ip_1978,New Rochelle Employees L663,ic_242,Union Plans
ip_1979,New Rochelle Fuse Welfare Fund,ic_242,Union Plans
ip_1980,NJDCEA Welfare Fund,ic_242,Union Plans
ip_1981,NMU Deep Sea,ic_242,Union Plans
ip_1982,NMU Pension & Welfare,ic_242,Union Plans
ip_1983,NYC Local 246 S.E.I.U. Annuity Fund,ic_242,Union Plans
ip_1984,NYDCC Welfare Fund,ic_242,Union Plans
ip_1985,NY Oil Heat Association,ic_242,Union Plans
ip_1986,OPEIU - DC,ic_242,Union Plans
ip_1987,Organization of Staff Analysts,ic_242,Union Plans
ip_1988,Painters Local 155 Welfare Fund,ic_242,Union Plans
ip_1989,Painting Industry Insurance,ic_242,Union Plans
ip_1990,Pine Bush Teachers,ic_242,Union Plans
ip_1991,Plasterers' and Cement Masons L262,ic_242,Union Plans
ip_1992,Plumbers Active Medical,ic_242,Union Plans
ip_1994,Port Washington Teachers Association,ic_242,Union Plans
ip_1995,Publishers-Newspaper/Mail Deliverers,ic_242,Union Plans
ip_1996,Roslyn Teachers Assoc Benefit Fund,ic_242,Union Plans
ip_1997,Sanitation Officers Retiree,ic_242,Union Plans
ip_1998,Sanitation Officers Security Fund,ic_242,Union Plans
ip_1999,SCCEA Welfare Fund,ic_242,Union Plans
ip_2000,Shopmen Ironworkers Welfare Plan,ic_242,Union Plans
ip_2001,Structural Steel & Bridge Painters,ic_242,Union Plans
ip_2002,Supreme Court Reporters (Active),ic_242,Union Plans
ip_2003,Supreme Court Reporters (Retiree),ic_242,Union Plans
ip_2004,Teamsters Local 531,ic_242,Union Plans
ip_2006,Teamsters Local 966,ic_242,Union Plans
ip_2007,Teamsters Local 1205 Welfare Fund,ic_242,Union Plans
ip_2008,UCE of FIT Welfare Fund,ic_242,Union Plans
ip_2009,UFT Welfare Fund,ic_242,Union Plans
ip_2010,Valley Central Teachers Association,ic_242,Union Plans
ip_2012,Child Health Plus,ic_245,Fidelis Care (NY)
ip_2013,Family Health Plus,ic_245,Fidelis Care (NY)
ip_2015,HIP Prime Dental,ic_246,EmblemHealth (formerly known as HIP)
ip_2017,NY/NJ Sele-Dent Provider,ic_247,Sele-Dent
ip_2019,Health Net PPO Commercial,ic_248,Health Net
ip_2020,Aflac Dental,ic_249,Aflac
ip_2022,Dental Indemnity USA,ic_251,Blue Cross Blue Shield of Texas
ip_2023,Affinity,ic_252,Blue Cross Blue Shield of Michigan
ip_2024,Traditional Plus Dental,ic_252,Blue Cross Blue Shield of Michigan
ip_2028,Blue Dental PPO (Personal or Through Employer),ic_252,Blue Cross Blue Shield of Michigan
ip_2029,Dental Blue 200,ic_253,Blue Cross Blue Shield of Georgia
ip_2030,Dental Blue 100,ic_253,Blue Cross Blue Shield of Georgia
ip_2031,Dental Complete,ic_253,Blue Cross Blue Shield of Georgia
ip_2032,Dental Prime,ic_253,Blue Cross Blue Shield of Georgia
ip_2033,Traditional Dental Network,ic_253,Blue Cross Blue Shield of Georgia
ip_2034,BlueSelect for Basic Individual,ic_254,Blue Cross Blue Shield of Kansas City
ip_2035,Premier Blue/Traditional Dental,ic_254,Blue Cross Blue Shield of Kansas City
ip_2036,Dental Blue,ic_255,Anthem Blue Cross
ip_2039,Dental Complete,ic_255,Anthem Blue Cross
ip_2040,Dental Net HMO,ic_255,Anthem Blue Cross
ip_2041,Dental PPO,ic_255,Anthem Blue Cross
ip_2043,Dental Select HMO,ic_255,Anthem Blue Cross
ip_2044,Dental Blue Freedom Plan,ic_256,Boston University
ip_2047,Traditional Dental,ic_258,CareFirst Blue Cross Blue Shield  (Dental)
ip_2049,CareFirst Regional,ic_258,CareFirst Blue Cross Blue Shield  (Dental)
ip_2050,Preferred Dental (PPO),ic_258,CareFirst Blue Cross Blue Shield  (Dental)
ip_2052,Dental HMO (The Dental Network),ic_258,CareFirst Blue Cross Blue Shield  (Dental)
ip_2053,BlueDental Basic,ic_258,CareFirst Blue Cross Blue Shield  (Dental)
ip_2054,AdvantagePlus Plans,ic_259,CompBenefits
ip_2055,DHMO Plans,ic_259,CompBenefits
ip_2056,Access Plans,ic_259,CompBenefits
ip_2057,"Texas Dental Plans, Inc.",ic_259,CompBenefits
ip_2058,PPO Plans,ic_259,CompBenefits
ip_2064,Simple Access,ic_223,Delta Dental
ip_2147,Advantage Program,ic_223,Delta Dental
ip_2150,Excellus BlueCross BlueShield Dental Network,ic_278,Excellus Blue Cross Blue Shield
ip_2152,Dental Blue PPO,ic_278,Excellus Blue Cross Blue Shield
ip_2153,Prime Blue,ic_278,Excellus Blue Cross Blue Shield
ip_2159,DenteMax,ic_281,Sun Life Financial
ip_2160,Connection Dental,ic_281,Sun Life Financial
ip_2163,First Dental Health,ic_281,Sun Life Financial
ip_2164,Diversified,ic_281,Sun Life Financial
ip_2165,Premier Dental,ic_281,Sun Life Financial
ip_2166,PPO,ic_282,GWH-Cigna (formerly Great West Healthcare)
ip_2167,Dental +,ic_282,GWH-Cigna (formerly Great West Healthcare)
ip_2168,Dental POS,ic_282,GWH-Cigna (formerly Great West Healthcare)
ip_2173,PPO/Traditional Preferred,ic_283,Humana
ip_2174,PPO,ic_284,Mutual of Omaha
ip_2178,Commercial Dental,ic_286,UnitedHealthcare Oxford
ip_2180,All Dental with BlueCard PPO/Traditional,ic_287,Premera Blue Cross
ip_2187,PPO,ic_289,Reliance Standard
ip_2191,CA Select Managed Care DHMO Plan,ic_243,UnitedHealthcare
ip_2192,Columbia Dental Plan,ic_243,UnitedHealthcare
ip_2194,In Network Only PPO - INO,ic_243,UnitedHealthcare
ip_2195,National Options PPO 10,ic_243,UnitedHealthcare
ip_2198,MA Senior Care Options (HMO D-SNP),ic_243,UnitedHealthcare
ip_2199,Dental Indemnity,ic_243,UnitedHealthcare
ip_2200,Dental Gateway PPO,ic_243,UnitedHealthcare
ip_2201,DE Medicaid,ic_243,UnitedHealthcare
ip_2202,CA Select Managed Care Direct Compensation,ic_243,UnitedHealthcare
ip_2203,AARP Personal Health Insurance Plan,ic_290,AARP
ip_2204,AIG Personal Health Insurance,ic_291,AIG
ip_2213,CA Salud EPO,ic_295,Health Net
ip_2215,OR Violet Option 3 (Medicare PPO),ic_295,Health Net
ip_2216,Nationwide Health Plan,ic_296,Nationwide
ip_2217,Individual Medical Coverage,ic_297,State Farm®
ip_2222,Aetna Select,ic_300,Aetna
ip_2223,Aetna Value Network HMO (available in CA and NV only),ic_300,Aetna
ip_2224,HMO,ic_300,Aetna
ip_2227,Value Performance Network,ic_300,Aetna
ip_2228,Managed Choice (Open Access) on the Altius Network,ic_300,Aetna
ip_2229,Elect Choice EPO,ic_300,Aetna
ip_2230,NYC Community Plan,ic_300,Aetna
ip_2231,Open Access Aetna Select (Aetna Health Fund),ic_300,Aetna
ip_2232,Open Choice PPO,ic_300,Aetna
ip_2233,Traditional Choice® Indemnity,ic_300,Aetna
ip_2234,Aetna Choice® POS (Open Access),ic_300,Aetna
ip_2235,Aetna Choice® POS II (Open Access),ic_300,Aetna
ip_2236,Aetna Health Network Only (Open Access),ic_300,Aetna
ip_2237,Aetna Health Network Option (Open Access),ic_300,Aetna
ip_2238,Managed Choice (Open Access),ic_300,Aetna
ip_2239,Managed Choice POS,ic_300,Aetna
ip_2240,QPOS,ic_300,Aetna
ip_2241,USAccess®,ic_300,Aetna
ip_2243,Aetna HealthFund® Aetna Health Network Only (Open Access),ic_300,Aetna
ip_2244,Aetna HealthFund® Aetna Health Network Option (Open Access),ic_300,Aetna
ip_2245,Aetna HealthFund HMO (available in CA only),ic_300,Aetna
ip_2247,Open Access Elect Choice EPO (Aetna Health Fund),ic_300,Aetna
ip_2248,Open Access Managed Choice POS (Aetna Health Fund),ic_300,Aetna
ip_2250,Open Choice® PPO (Aetna Health Fund),ic_300,Aetna
ip_2253,Golden Medicare Plan (HMO),ic_300,Aetna
ip_2255,HMO,ic_301,HAP (Health Alliance Plan)
ip_2256,Henry Ford Health System Preferred,ic_301,HAP (Health Alliance Plan)
ip_2257,Self-Funded HMO - Henry Ford Health System,ic_301,HAP (Health Alliance Plan)
ip_2259,POS,ic_301,HAP (Health Alliance Plan)
ip_2260,HMO - Genesys Choice,ic_301,HAP (Health Alliance Plan)
ip_2261,PPO,ic_301,HAP (Health Alliance Plan)
ip_2262,EPO,ic_301,HAP (Health Alliance Plan)
ip_2263,HAP Preferred,ic_301,HAP (Health Alliance Plan)
ip_2265,Primary,ic_303,Beech Street
ip_2266,BlueCard PPO,ic_304,Blue Cross Blue Shield
ip_2267,BlueCard PPO Basic,ic_304,Blue Cross Blue Shield
ip_2268,BlueCard Traditional (Indemnity),ic_304,Blue Cross Blue Shield
ip_2270,BluePreferred,ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2271,BlueCross BlueShield Preferred,ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2272,Preferred Provider Organization (PPO),ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2273,Personal Comp,ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2274,Maryland Point of Service (POS),ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2275,CareFirst Regional,ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2276,Traditional/Indemnity,ic_305,CareFirst Blue Cross Blue Shield  (Health)
ip_2278,HMO,ic_307,Cigna
ip_2279,Open Access (all deductible levels),ic_307,Cigna
ip_2280,Open Access Plus,ic_307,Cigna
ip_2281,Open Access Plus/CareLink,ic_307,Cigna
ip_2282,Choice Fund PPO,ic_307,Cigna
ip_2285,PPO,ic_310,GEHA
ip_2287,High Deductible Health Plan,ic_310,GEHA
ip_2295,PPO,ic_312,Guardian
ip_2296,PPO,ic_313,GWH-Cigna (formerly Great West Healthcare)
ip_2297,HMO,ic_313,GWH-Cigna (formerly Great West Healthcare)
ip_2298,ONE +,ic_313,GWH-Cigna (formerly Great West Healthcare)
ip_2299,Open Access,ic_313,GWH-Cigna (formerly Great West Healthcare)
ip_2300,POS,ic_313,GWH-Cigna (formerly Great West Healthcare)
ip_2301,Horizon Direct Access,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2302,Horizon HMO,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2304,Horizon POS,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2305,NJ Plus,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2306,Horizon PPO,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2307,Horizon MyWay HRA PPO,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2308,Horizon MyWay HSA PPO,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2309,Horizon EPO/EPO PLUS,ic_314,Horizon Blue Cross Blue Shield of New Jersey
ip_2315,PPO,ic_315,Humana
ip_2316,Health Maintenance Organization (HMO),ic_315,Humana
ip_2317,Point of Service,ic_315,Humana
ip_2322,HumanaAccess℠,ic_315,Humana
ip_2326,HumanaOne®,ic_315,Humana
ip_2341,Optima POS and POSA,ic_320,Optima Health
ip_2343,Optima Family Care/FAMIS,ic_320,Optima Health
ip_2347,PHCS for OhioHealthy,ic_320,Optima Health
ip_2348,Classic PPO Benefits (1200 Series),ic_321,Principal Financial Group
ip_2351,UniCare PPO,ic_322,UniCare
ip_2354,Solaura Plan,ic_322,UniCare
ip_2355,UniCare HMO - Classic Illinois/NW Indiana,ic_322,UniCare
ip_2356,UniCare Performance Select (Metro Chicago),ic_322,UniCare
ip_2359,UnitedHealthcare Options PPO,ic_323,UnitedHealthcare
ip_2360,UnitedHealthcare Select Plus POS,ic_323,UnitedHealthcare
ip_2361,UnitedHealthcare Select EPO,ic_323,UnitedHealthcare
ip_2362,UnitedHealthcare Select HMO,ic_323,UnitedHealthcare
ip_2363,UnitedHealthcare Select Plus HMO,ic_323,UnitedHealthcare
ip_2364,UnitedHealthcare Choice,ic_323,UnitedHealthcare
ip_2365,UnitedHealthcare Choice Plus,ic_323,UnitedHealthcare
ip_2366,UnitedHealthcare Choice HMO/Choice Plus HMO,ic_323,UnitedHealthcare
ip_2369,OCI HMO,ic_323,UnitedHealthcare
ip_2370,OCI Preferred POS,ic_323,UnitedHealthcare
ip_2371,M.D. IPA,ic_323,UnitedHealthcare
ip_2372,"M.D. IPA Preferred ",ic_323,UnitedHealthcare
ip_2373,Definity PPO,ic_323,UnitedHealthcare
ip_2374,Definity Choice Plus,ic_323,UnitedHealthcare
ip_2375,Harvard Pilgrim Options,ic_323,UnitedHealthcare
ip_2376,Harvard Pilgrim Choice Plus,ic_323,UnitedHealthcare
ip_2378,State BlueCare (Local Network only),ic_324,Anthem Blue Cross Blue Shield
ip_2379,BlueCare Health Plan (with Expanded Network),ic_324,Anthem Blue Cross Blue Shield
ip_2380,CT: Century Preferred,ic_324,Anthem Blue Cross Blue Shield
ip_2384,PPO (Connecticut),ic_324,Anthem Blue Cross Blue Shield
ip_2385,State BlueCare (with Expanded Network),ic_324,Anthem Blue Cross Blue Shield
ip_2386,State Preferred,ic_324,Anthem Blue Cross Blue Shield
ip_2389,Tri-State Teamsters,ic_324,Anthem Blue Cross Blue Shield
ip_2393,Federal Employee Program,ic_324,Anthem Blue Cross Blue Shield
ip_2394,Peak Advantage,ic_325,Altius (Coventry Health Care)
ip_2397,AmeriHealth Direct POS,ic_326,AmeriHealth
ip_2398,AmeriHealth HMO / POS / Open Access,ic_326,AmeriHealth
ip_2399,AmeriHealth POS Plus,ic_326,AmeriHealth
ip_2400,AmeriHealth PPO,ic_326,AmeriHealth
ip_2401,AH 65 HMO,ic_326,AmeriHealth
ip_2404,HMO,ic_329,ConnectiCare
ip_2405,EPO,ic_329,ConnectiCare
ip_2406,POS,ic_329,ConnectiCare
ip_2408,FlexPOS Plans,ic_329,ConnectiCare
ip_2413,Liberty Plan,ic_330,UnitedHealthcare Oxford
ip_2414,Freedom Plan PPO,ic_330,UnitedHealthcare Oxford
ip_2416,Alternative Medicine,ic_330,UnitedHealthcare Oxford
ip_2417,Providence Connect Network,ic_331,Providence Health Plans
ip_2421,MCO Worker's Compensation,ic_331,Providence Health Plans
ip_2424,Providence Preferred (PPO),ic_331,Providence Health Plans
ip_2425,Providence Choice Network,ic_331,Providence Health Plans
ip_2427,PH&S Oregon Employee Plan,ic_331,Providence Health Plans
ip_2428,PH&S Washington Employee Plan,ic_331,Providence Health Plans
ip_2429,PEBB Providence Choice Medical Home Plan,ic_331,Providence Health Plans
ip_2433,Select Care,ic_332,SelectHealth
ip_2434,Select Care PLUS,ic_332,SelectHealth
ip_2435,Select Choice,ic_332,SelectHealth
ip_2437,Select Med,ic_332,SelectHealth
ip_2438,Select Med PLUS,ic_332,SelectHealth
ip_2439,Select Value,ic_332,SelectHealth
ip_2442,SC Premier (Fully - Insured),ic_334,SummaCare
ip_2443,SC Plus,ic_334,SummaCare
ip_2445,Mercy Choice,ic_334,SummaCare
ip_2446,SC Prime,ic_334,SummaCare
ip_2447,PPO,ic_335,Assurant Health
ip_2448,Child Health Plus,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2449,Direct HMO,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2450,"Empire HMO, Catastrophic (Individual via Exchange)",ic_336,Empire Blue Cross Blue Shield (Health)
ip_2451,"Empire HMO, Gold",ic_336,Empire Blue Cross Blue Shield (Health)
ip_2452,Empire Direct POS,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2453,Empire DirectShare POS,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2454,EPO,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2455,Empire TotalBlue(SM) Choice,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2456,Empire HMO (Health Maintenance Organization),ic_336,Empire Blue Cross Blue Shield (Health)
ip_2457,Blue Access Choice (St Louis) (Alternate Network),ic_336,Empire Blue Cross Blue Shield (Health)
ip_2458,Empire MediBlue (HMO),ic_336,Empire Blue Cross Blue Shield (Health)
ip_2460,PPO,ic_336,Empire Blue Cross Blue Shield (Health)
ip_2461,Patrolmen's Benevolent Association,ic_242,Union Plans
ip_2466,HIP Classic,ic_337,EmblemHealth (formerly known as HIP)
ip_2467,HIP HMO Direct,ic_337,EmblemHealth (formerly known as HIP)
ip_2472,HIPaccess I,ic_337,EmblemHealth (formerly known as HIP)
ip_2473,HIPaccess II,ic_337,EmblemHealth (formerly known as HIP)
ip_2475,HIP Prime HMO,ic_337,EmblemHealth (formerly known as HIP)
ip_2477,HIP Prime POS,ic_337,EmblemHealth (formerly known as HIP)
